Restaurant_Link,Restaurant_ID,Name,Ratings,Cuisine
https://www.grubhub.com/restaurant/grilled-cheese-society-117-25-farmers-blvd-queens/3185056,3185056,Grilled Cheese Society,7 ratings,American
https://www.grubhub.com/restaurant/pennys-pancakes-59-4th-ave-new-york/3310181,3310181,Penny's Pancakes,NA,Breakfast
https://www.grubhub.com/restaurant/toastys-breakfast-burritos-37-kenmare-st-new-york/7143928,7143928,Toasty's Breakfast Burritos,3 ratings,Breakfast
https://www.grubhub.com/restaurant/taqueria-los-primos-43-35-91st-pl-elmhurst/6855784,6855784,Taqueria los Primos,8 ratings,Mexican
https://www.grubhub.com/restaurant/caridad-restaurant-express-18-e-gun-hill-rd-bronx/3319130,3319130,CARIDAD RESTAURANT EXPRESS,8 ratings,Chicken
https://www.grubhub.com/restaurant/quesadilla-point-north-ave-288-north-avenue-new-rochelle/4100544,4100544,Quesadilla Point (North Ave),3 ratings,Mexican
https://www.grubhub.com/restaurant/little-pizza-master-658-9th-ave-new-york/5115576,5115576,Little Pizza Master,NA,Pizza
https://www.grubhub.com/restaurant/heavens-burgers-433-w-34th-st-new-york/3326398,3326398,Heaven's Burgers,5 ratings,Hamburger
https://www.grubhub.com/restaurant/sanford--son-sandwiches-1630-madison-ave-new-york/7320432,7320432,Sanford & Son Sandwiches,NA,Sandwich
https://www.grubhub.com/restaurant/la-hueca-epa-104-22-northern-blvd-flushing-queens/3135671,3135671,La Hueca Epa,6 ratings,Mexican
https://www.grubhub.com/restaurant/kashmir-halal-gyro-1206-remsen-ave-brooklyn/6537200,6537200,Kashmir Halal Gyro,7 ratings,Chicken
https://www.grubhub.com/restaurant/chunky-burger-35-55-31st-st-queens/2498508,2498508,Chunky Burger,13 ratings,Hamburger
https://www.grubhub.com/restaurant/pb--jellys-2803-avenue-u-brooklyn/5346416,5346416,PB & Jellys,NA,American
https://www.grubhub.com/restaurant/zahirul-convenience-445-7th-ave-brooklyn/3196197,3196197,Zahirul convenience,NA,American
https://www.grubhub.com/restaurant/turkish-pizza-1614-sheepshead-bay-rd-brooklyn/2978637,2978637,TURKISH PIZZA,5 ratings,Pizza
https://www.grubhub.com/restaurant/neighborhood-cafe-1463-york-ave-new-york/3278053,3278053,Neighborhood Cafe,12 ratings,Breakfast
https://www.grubhub.com/restaurant/wings-vs-fries-578-9th-avenue-new-york/5217472,5217472,Wings Vs Fries,NA,Fast Food
https://www.grubhub.com/restaurant/baked-by-melissa-2325-broadway-new-york/383232,383232,Baked by Melissa,98 ratings,Dessert
https://www.grubhub.com/restaurant/the-cheeseburger-paradise-353-w-125th-st-new-york/3310131,3310131,The Cheeseburger Paradise,NA,Hamburger
https://www.grubhub.com/restaurant/tacos-el-coyote-1320-jerome-ave-bronx/5829584,5829584,Tacos El Coyote,4 ratings,Mexican
https://www.grubhub.com/restaurant/bleeckers-finest-deli-171-bleecker-st-new-york/277403,277403,Bleecker's Finest Deli,902 ratings,Convenience
https://www.grubhub.com/restaurant/autumn-ave-cafe-323-autumn-ave-brooklyn/7662288,7662288,AUTUMN AVE CAFE,NA,Breakfast
https://www.grubhub.com/restaurant/cafe-take-5-560-northern-blvd-great-neck/3336907,3336907,Cafe Take 5,NA,Salads
https://www.grubhub.com/restaurant/philly-pretzel-factory-2105-hillside-avenue-north-new-hyde-park/2604611,2604611,Philly Pretzel Factory,62 ratings,Bakery
https://www.grubhub.com/restaurant/huevorito-6111-5th-ave-brooklyn/5080680,5080680,HuevoRito,5 ratings,Mexican
https://www.grubhub.com/restaurant/golden-ring-restaurant-4342-white-plains-rd-bronx/2055131,2055131,Golden Ring Restaurant,47 ratings,Breakfast
https://www.grubhub.com/restaurant/bag-n-wich-384-2nd-ave-new-york/6934648,6934648,BAG-N-WICH,NA,Breakfast
https://www.grubhub.com/restaurant/lindas-restaurant---71-main-st-hempstead/2894671,2894671,Linda's Restaurant -,7 ratings,Chicken
https://www.grubhub.com/restaurant/nb-national-bakery-walton-ave-1193-walton-ave-bronx/2648207,2648207,NB National Bakery (Walton Ave),95 ratings,Bagel
https://www.grubhub.com/restaurant/vics-vegan-deli-2574-coney-island-ave-brooklyn/3325638,3325638,Vic's Vegan Deli,4 ratings,Bodega
https://www.grubhub.com/restaurant/smash-shack-26-1st-ave-new-york/3132553,3132553,Smash Shack,6 ratings,Hamburger
https://www.grubhub.com/restaurant/mels-melts-596-3rd-ave-new-york/2680908,2680908,Mel's Melts,4 ratings,Hamburger
https://www.grubhub.com/restaurant/juice--tings-496-e-96th-st-brooklyn/2835896,2835896,Juice & tings,43 ratings,Healthy
https://www.grubhub.com/restaurant/oakberry-aa-bowls--smoothies---greenwich-village-124-macdougal-st-new-york/2124872,2124872,Oakberry Açaí Bowls & Smoothies - Greenwich Village,145 ratings,Bowls
https://www.grubhub.com/restaurant/pasta-kitchen-1354-amsterdam-ave-new-york/1171356,1171356,Pasta Kitchen,66 ratings,Pasta
https://www.grubhub.com/restaurant/super-smash-burgers-336-franklin-avenue-brooklyn/3049405,3049405,Super Smash Burgers,38 ratings,Hamburger
https://www.grubhub.com/restaurant/the-ivy-coffee--bakery-31-carmine-st-new-york/6829384,6829384,The Ivy Coffee & Bakery,9 ratings,Coffee and Tea
https://www.grubhub.com/restaurant/dunkin-1379-halsey-st-brooklyn/1162429,1162429,Dunkin',105 ratings,Breakfast
https://www.grubhub.com/restaurant/bos-bagels-235-w-116th-st-new-york/6863480,6863480,BO's Bagels,43 ratings,Bagel
https://www.grubhub.com/restaurant/wild-philly-steak-1715-st-johns-pl-brooklyn/6052272,6052272,Wild Philly Steak,5 ratings,Fast Food
https://www.grubhub.com/restaurant/elenis-goods-238-3rd-ave-new-york/7041120,7041120,Elenis Goods,NA,Coffee and Tea
https://www.grubhub.com/restaurant/don-paco-lopez-panaderia-4703-4th-ave-brooklyn/1998623,1998623,Don Paco Lopez Panaderia,41 ratings,Mexican
https://www.grubhub.com/restaurant/flapjacks-751-white-plains-rd-eastchester/6247432,6247432,Flapjacks,NA,Breakfast
https://www.grubhub.com/restaurant/crawfords-coffee-bar--cafe-424-central-ave-cedarhurst/6078160,6078160,Crawfords Coffee Bar & Cafe,8 ratings,Breakfast
https://www.grubhub.com/restaurant/city-light-wraps-93-avenue-a-new-york/3309846,3309846,City Light Wraps,NA,Fast Food
https://www.grubhub.com/restaurant/chun-yang-tea-tribeca-107a-chambers-st-new-york/3278111,3278111,Chun Yang Tea Tribeca,89 ratings,American
https://www.grubhub.com/restaurant/all-day-burritos-937-1st-avenue-new-york/2896883,2896883,All-Day Burritos,11 ratings,Mexican
https://www.grubhub.com/restaurant/volare-espresso-bar-199-5th-ave-brooklyn/6545960,6545960,Volare Espresso Bar,NA,American
https://www.grubhub.com/restaurant/two-friends-m--a-deli-130-02-atlantic-ave-south-richmond-hill/2626338,2626338,Two Friends M & A Deli,6 ratings,Hamburger
https://www.grubhub.com/restaurant/pancake-paradise-641-2nd-ave-new-york/4461128,4461128,Pancake Paradise,6 ratings,Breakfast
